shoots out water that makes the enemies faster,изстрелва вода. която прави враговете по -бързи,射出使敌人更快的水,vystřeluje vodu. díky které jsou nepřátelé rychlejší,skyder vand ud. der gør fjenderne hurtigere,Schiet water uit dat de vijanden sneller maakt,ampuu vettä. joka tekee vihollisista nopeammin,tire de l'eau qui rend les ennemis plus rapidement,schießt Wasser aus. das die Feinde schneller macht,πυροβολεί νερό που κάνει τους εχθρούς πιο γρήγορα,पानी को गोली मारता है जो दुश्मनों को तेजी से बनाता है,Kihúzza a vizet. amely gyorsabbá teszi az ellenségeket,spara acqua che rende i nemici più veloci,敵をより速くする水を撃ちます,적을 더 빨리 만드는 물을 쏘아냅니다,skyter ut vann som gjør fiendene raskere,Wyrzuca wodę. która przyspiesza wrogów,dispara água que torna os inimigos mais rápido,ਉਹ ਪਾਣੀ ਬਾਹਰ ਕੱ got ੋ ਜੋ ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਤੇਜ਼ੀ ਨਾਲ ਬਣਾਉਂਦੀ ਹੈ,trage apă care îi face pe dușmani mai repede,стреляет воду. которая делает врагов быстрее,dispara agua que hace a los enemigos más rápido,skjuter ut vatten som gör fienderna snabbare,ยิงน้ำที่ทำให้ศัตรูเร็วขึ้น,düşmanları daha hızlı yapan suyu vurur,вистрілює воду. що робить ворогів швидше,bắn ra nước làm cho kẻ thù nhanh hơn
shoots water that does lightning damage on level up,изстрелва вода. която нанася светкавични щети на ниво нагоре,射出的水会在升级时造成闪电伤害,střílí vodu. která poškozuje blesky na úrovni,Skyder vand. der gør lynskader på niveau op,Schiet water op dat bliksemschade aanricht op niveau omhoog,ampuu vettä. joka aiheuttaa salaman vaurioita tasolla,tire de l'eau qui fait des dégâts de foudre au niveau,schießt Wasser. das Blitzschaden auf dem Niveau anrichtet,πυροβολεί νερό που προκαλεί ζημιά από αστραπές στο επίπεδο,पानी को गोली मारता है जो स्तर पर बिजली की क्षति करता है,olyan vizet lő. amely villámkárosodást okoz a szintjén,spara acqua che infligge danni da fulmine al livello,レベルアップで稲妻のダメージを与える水を撃ちます,레벨 업에서 번개 손상을 일으키는 물을 촬영합니다,skyter vann som gjør lynskader på nivå opp,strzela do wody. która wyrządza błyskawicę na poziomie,dispara água que causa um dano de relâmpago no nível,ਪਾਣੀ ਨੂੰ ਗੋਲੀ ਮਾਰਦਾ ਹੈ,trage apă care face daune fulgerului la nivel în sus,стреляет воду. которая наносит урон молниенос,dispara agua que hace daño al rayo en el nivel,skjuter vatten som gör blixtnedslag på nivå upp,ถ่ายน้ำที่สร้างความเสียหายจากฟ้าผ่าเมื่อระดับ,Seviye yükselmede yıldırım hasarı veren suyu vurur,стріляє води. яка завдає блискавки на рівні вгору,bắn nước gây sát thương sét khi tăng cấp
does huge damage and grounds air enemies,прави огромни щети и основава въздушни врагове,会造成巨大的伤害和地面空气敌人,Dělá obrovské škody a pozemky vzduchu nepřátele,Lufter enorme skader og grunde fjender,Doet enorme schade en gronden luchtvijanden,Onko valtavia vahinkoja ja perustaa vihollisia,fait d'énormes dégâts et fonds les ennemis aériens,Fügt große Schäden und begründet Luft Feinde,Μήπως τεράστιες ζημιές και εχθροί του αέρα,भारी क्षति और मैदान हवा के दुश्मन हैं,Hatalmas károkat okoz. és a levegő ellenségeket,Fa enormi danni e motivi Air Nemies,大きなダメージとグラウンドエアンエーンズ,큰 피해를 입히고 공기 적을 근거로합니다,gjør enorme skader og begrunnelser luftfiender,wyrządza ogromne obrażenia i uziemienia wrogów,causa danos enormes e motivos inimigos do ar,ਬਹੁਤ ਵੱਡਾ ਨੁਕਸਾਨ ਅਤੇ ਮੈਦਾਨ ਵਿੱਚ ਹਵਾ ਦੁਸ਼ਮਣ ਕਰਦਾ ਹੈ,daune uriașe și motivează dușmani,Огромный ущерб и воздушные враги,hace enormes daños y terrenos enemigos de aire,gör enorma skador och mark luftfiender,สร้างความเสียหายอย่างมากและบริเวณศัตรูอากาศ,büyük hasar verir ve hava düşmanlarını topraklar,Чи є величезна шкода та обґрунтування повітряних ворогів,Thiệt hại rất lớn và căn cứ không khí kẻ thù
does damage scaled by the enemy's speed,Дали щети. мащабирани от скоростта на противника,敌人的速度会缩放伤害,Dělá poškození škálované rychlostí nepřítele,Skader skader af fjendens hastighed,Beschadigt schade door de snelheid van de vijand,Onko vihollisen nopeuden skaalattu vahinko,fait des dégâts mis à l'échelle par la vitesse de l'ennemi,Schädigt Schäden durch die Geschwindigkeit des Feindes,Η βλάβη κλιμακώνεται από την ταχύτητα του εχθρού,क्या दुश्मन की गति से नुकसान होता है,az ellenség sebességével méretezett sérülést,Danni ridimensionati dalla velocità del nemico,敵の速度によって縮小された損傷はあります,적의 속도에 따라 손상이 조정됩니다,Skader skader av fiendens hastighet,Czy obrażenia skalowane przez prędkość wroga,dano escalado pela velocidade do inimigo,ਕੀ ਦੁਸ਼ਮਣ ਦੀ ਗਤੀ ਦੁਆਰਾ ਘੇਰਿਆ ਹੋਇਆ ਨੁਕਸਾਨ ਕਰਦਾ ਹੈ,daunele sunt scalate de viteza inamicului,наносит урон в зависимости от скорости врага,¿El daño escalado por la velocidad del enemigo?,skadar skalade av fiendens hastighet,ความเสียหายที่ปรับขนาดโดยความเร็วของศัตรู,Hasar düşmanın hızından ölçekleniyor mu,Чи шкода. що масштабується швидкістю противника,Thiệt hại có tỷ lệ theo tốc độ của kẻ thù không
afflict,порази,折磨,postihnout,plage,treffen,vaivata,affliger,betroffen,βασανίζω,पीड़ा देना,kínoz,affliggere,苦しめる,괴롭히다,plage,dotknąć,afligir,ਦੁੱਖ,dezola,накапливаться,afligir,plåga,เป็นทุกข์,zorlamak,страждати,phiền não
weaken,отслабване,削弱,oslabit,svække,verzwakken,heikentää,affaiblir,schwächen,αποδυναμώνω,कमजोर,gyengít,indebolire,弱める,꺾이다,svekkes,osłabiać,enfraquecer,ਕਮਜ਼ੋਰ,slăbi,ослабить,debilitar,försvaga,อ่อนลง,zayıflatmak,послабити,suy yếu
explode,експлодира,爆炸,explodovat,eksplodere,ontploffen,räjähtää,exploser,explodieren,εκραγεί,विस्फोट,felrobban,esplodere,爆発します,터지다,eksplodere,eksplodować,explodir,ਫਟਿਆ,exploda,взорваться,explotar,explodera,ระเบิด,patlamak,вибухнути,nổ tung
pull,издърпайте,拉,SEM,trække,trekken,Vedä,tirer,ziehen,Τραβήξτε,खींचना,Húzni,tiro,引く,당기다,dra,ciągnąć,puxar,ਖਿੱਚੋ,Trage,тянуть,jalar,dra,ดึง,çekmek,тягнути,sự lôi kéo
burn,горя,烧伤,hořet,brænde,brandwond,polttaa,brûler,brennen,έγκαυμα,जलाना,éget,bruciare,燃えた,불타다,brenne,oparzenie,queimar,ਜਲਣ,a arde,гореть,quemar,bränna,เผา,yakmak,спалювати,đốt cháy
lightning,мълния,闪电,Blesk,lyn,bliksem,salama,foudre,Blitz,αστραπή,बिजली चमकना,villám,fulmine,雷,번개,lyn,Błyskawica,raio,ਬਿਜਲੀ,fulger,молния,iluminación,blixt,ฟ้าผ่า,yıldırım,блискавка,Lightning
wet,мокро,湿的,mokrý,våd,nat,märkä,humide,nass,βρεγμένος,गीला,nedves,Bagnato,濡れた,젖은,våt,mokry,molhado,ਗਿੱਲੇ,umed,влажный,húmedo,våt,เปียก,ıslak,мокрий,ướt
push,натиснете,推,TAM,skubbe,duw,työntää,pousser,drücken,Σπρώξτε,धकेलना,nyom,spingere,押す,푸시,trykk,naciskać,empurrar,ਧੱਕਾ,Apăsaţi,толкать,empujar,skjuta på,ดัน,itmek,штовхнути,xô
teleport,телепортирам,传送,Teleport,teleport,teleporteren,teleportti,se téléporter,Teleport,τηλεμεταφορά,टेलीपोर्ट,teleportál,teletrasporto,テレポート,순간 이동,teleporter,teleport,teleporte,ਟੈਲੀਪੋਰਟ,Teleport,Телепорт,teletransporte,teleportera,เทเลพอร์ต,ışınlamak,телепорт,dịch chuyển tức thời
lava,Лава,岩浆,láva,lava,lava,laava,lave,Lava,λάβα,लावा,láva,lava,溶岩,용암,lava,lawa,lava,ਲਾਵਾ,lavă,лава,lava,lava,ลาวา,lav,лава,nham thạch
speed,скорост,速度,Rychlost,fart,snelheid,nopeus,vitesse,Geschwindigkeit,Ταχύτητα,रफ़्तार,sebesség,velocità,スピード,속도,hastighet,prędkość,velocidade,ਗਤੀ,viteză,скорость,velocidad,fart,ความเร็ว,hız,швидкість,tốc độ
slow,бавен,慢的,pomalý,langsom,langzaam,hidas,lent,langsam,αργός,धीमा,lassú,lento,遅い,느린,langsom,powolny,lento,ਹੌਲੀ,încet,медленный,lento,långsam,ช้า,yavaş,повільно,chậm
freeze,замръзва,冻结,zmrazit,fryse,bevriezen,jäädyttää,gel,einfrieren,πάγωμα,जमाना,fagy,congelare,氷結,꼭 매달리게 하다,fryse,zamrażać,congelar,ਫ੍ਰੀਜ਼,îngheţa,заморозить,congelar,frysa,แช่แข็ง,donmak,заморозити,đông cứng
oil,масло,油,olej,olie,olie,öljy,huile,Öl,λάδι,तेल,olaj,olio,油,기름,olje,olej,óleo,ਤੇਲ,ulei,масло,aceite,olja,น้ำมัน,yağ,нафта,dầu
radiate,излъчва,辐射,vyzařovat,udstråle,Uitstralen,säteillä,rayonner,strahlen,ακτινοβολώ,विकीर्ण,sugárzik,irradiare,放射,방사,stråle,promieniować,irradiar,ਰੇਡੀਏਟ,radia,излучать,irradiar,utstråla,เปล่ง,yaymak,випромінювати,phát xạ
damage,щета,损害,poškození,skade,schade,vahingoittaa,dommage,Schaden,βλάβη,आघात,kár,danno,ダメージ,손상,skader,szkoda,dano,ਨੁਕਸਾਨ,deteriora,повреждать,daño,skada,ความเสียหาย,zarar,пошкодження,hư hại
damage is calculated as:
damage + money * multiplier
extra damage,допълнителни щети,额外的伤害,Extra poškození,ekstra skade,extra schade,ylimääräiset vauriot,dommage supplémentaire,Extra Schaden,επιπλέον ζημιά,अतिरिक्त क्षति,extra sérülés,danno extra,余分なダメージ,추가 피해,ekstra skade,dodatkowe obrażenia,dano extra,ਵਾਧੂ ਨੁਕਸਾਨ,daune suplimentare,Дополнительный урон,daño adicional,extra skada,ความเสียหายพิเศษ,ekstra hasar,додаткова шкода,thiệt hại thêm
does damage scaled off leftover gold,Увреждането на щетите от остатъците от злато,损坏缩小剩余黄金,Dělá poškození měřítko zbytku zlata,Skader skader fra det resterende guld,Beschadigt schade overgebleven goud,Onko vauriota asteikko jäljellä oleva kultaa,Les dégâts font l'échelle des restes de l'or,Schädigt Schenkel aus übrig gebliebenem Gold,Η ζημιά κλιμάκωσε το υπόλοιπο χρυσό,बचे हुए सोने से पैमाने को नुकसान करता है,károsítja -e a maradék aranyat,Danni Scala fuori oro rimanente,ダメージは残りの金を縮小します,남은 금색의 손상 스케일,Skader skader av rester av gull,Czy skala obrażeń od pozostałych złota,Danos escalam o ouro restante,ਕੀ ਨੁਕਸਾਨ ਦੇ ਪੱਧਰ ਨੂੰ ਜਾਂ ਲੂਤ ਦੇ ਸੋਨੇ ਤੋਂ ਬਾਹਰ ਕੱ .ਦਾ ਹੈ,scară daunele din aurul rămas,ущерб ли ущерб от оставшегося золота,¿El daño escala el oro sobrante?,Skalar skador på rester av guld,ความเสียหายสเกลปิดทองคำที่เหลืออยู่หรือไม่,Hasar artık altından ölçekleniyor mu,Чи заподіяно шкала залишків золота,Thiệt hại có tỷ lệ vàng còn lại không
or,или,或者,nebo,eller,of,tai,ou,oder,ή,या,vagy,O,また,또는,eller,Lub,ou,ਜਾਂ,sau,или,o,eller,หรือ,veya,або,hoặc
user interface size cannot be changed during battle,Размерът на потребителския интерфейс не може да бъде променен по време на битка,在战斗中无法更改用户界面的大小,Velikost uživatelského rozhraní nelze během bitvy změnit,Brugergrænsefladestørrelse kan ikke ændres under kampen,De grootte van de gebruikersinterfaces kan niet worden gewijzigd tijdens de strijd,Käyttöliittymän kokoa ei voida muuttaa taistelun aikana,La taille de l'interface utilisateur ne peut pas être modifiée pendant la bataille,Die Größe der Benutzeroberfläche kann während des Kampfes nicht geändert werden,Το μέγεθος της διεπαφής χρήστη δεν μπορεί να αλλάξει κατά τη διάρκεια της μάχης,उपयोगकर्ता इंटरफ़ेस आकार को लड़ाई के दौरान नहीं बदला जा सकता है,A felhasználói felület mérete nem változtatható meg a csata során,La dimensione dell'interfaccia utente non può essere modificata durante la battaglia,ユーザーインターフェイスサイズは、戦闘中に変更できません,전투 중에 사용자 인터페이스 크기를 변경할 수 없습니다,Brukergrensesnittstørrelse kan ikke endres under kamp,Rozmiar interfejsu użytkownika nie można zmienić podczas bitwy,O tamanho da interface do usuário não pode ser alterado durante a batalha,ਯੂਜ਼ਰ ਇੰਟਰਫੇਸ ਦਾ ਆਕਾਰ ਲੜਾਈ ਦੇ ਦੌਰਾਨ ਬਦਲਿਆ ਨਹੀਂ ਜਾ ਸਕਦਾ,Dimensiunea interfeței utilizatorului nu poate fi modificată în timpul luptei,Размер интерфейса пользователя не может быть изменен во время боя,El tamaño de la interfaz de usuario no se puede cambiar durante la batalla,Användargränssnittsstorlek kan inte ändras under striden,ขนาดส่วนต่อประสานผู้ใช้ไม่สามารถเปลี่ยนแปลงได้ในระหว่างการต่อสู้,Savaş sırasında kullanıcı arayüzü boyutu değiştirilemez,Розмір інтерфейсу користувача неможливо змінити під час бою,Không thể thay đổi kích thước giao diện người dùng trong trận chiến
roll,Roll,卷,válec,rulle,rollen,rullata,rouleau,rollen,ρολό,लुढ़काना,tekercs,rotolo,ロール,롤,rull,rolka,rolar,ਰੋਲ,rulează,рулон,rollo,rulla,ม้วน,rulo,рулон,cuộn
tower,кула,塔,věž,tårn,toren,torni,la tour,Turm,πύργος,मीनार,torony,Torre,タワー,탑,tårn,wieża,torre,ਟਾਵਰ,turn,башня,torre,torn,หอคอย,kule,башта,tòa tháp
max,Макс,最大限度,Max,maks,maximaal,max,max,Max,Μέγιστη,अधिकतम,maximum,max,マックス,맥스,Maks,Max,máx,ਅਧਿਕਤਮ,Max,Макс,máximo,max,สูงสุด,maksimum,максимум,Tối đa
change difficulty,Променете трудността,改变难度,Změnit potíže,Skift vanskeligheder,Verander de moeilijkheid,muuttaa vaikeuksia,Changer la difficulté,Schwierigkeit ändern,Αλλαγή δυσκολίας,कठिनाई बदलें,Változtassa meg a nehézségeket,cambiare difficoltà,難易度を変更します,어려움을 바꾸십시오,endre vanskeligheter,zmień trudność,mudança de dificuldade,ਮੁਸ਼ਕਲ ਬਦਲੋ,Schimbați dificultatea,изменить сложность,cambio de dificultad,ändra svårigheter,เปลี่ยนปัญหา,Zorluk Değiştir,Змінити труднощі,thay đổi độ khó
health increase,Увеличаване на здравето,健康增加,Zvýšení zdraví,Sundhedsforøgelse,gezondheidsverhoging,terveydenhuollon lisäys,augmentation de la santé,Gesundheitszustand,αύξηση της υγείας,स्वास्थ्य वृद्धि,egészségügyi növekedés,aumento della salute,健康増加,건강 증가,helseøkning,Wzrost zdrowia,aumento da saúde,ਸਿਹਤ ਵਿੱਚ ਵਾਧਾ,Creșterea sănătății,Увеличение здоровья,Aumento de la salud,hälsoökning,การเพิ่มสุขภาพ,Sağlık Artışı,Зростання здоров'я,Tăng sức khỏe
speed increase,Увеличаване на скоростта,速度增加,Zvýšení rychlosti,Hastighedsforøgelse,snelheidsverhoging,nopeuden lisääntyminen,augmentation de vitesse,Geschwindigkeitssteigerung,αύξηση ταχύτητας,गति वृद्धि,sebességnövekedés,aumento della velocità,速度の上昇,속도 증가,hastighetsøkning,Wzrost prędkości,aumento da velocidade,ਸਪੀਡ ਵਾਧਾ,creșterea vitezei,Увеличение скорости,Aumento de la velocidad,hastighetsökning,เพิ่มความเร็ว,hız artışı,Збільшення швидкості,Tăng tốc độ
possible effects,възможни ефекти,可能的影响,možné účinky,mulige effekter,Mogelijke effecten,mahdolliset vaikutukset,effets possibles,mögliche Effekte,πιθανά αποτελέσματα,संभावित प्रभाव,lehetséges hatások,possibili effetti,考えられる効果,가능한 효과,Mulige effekter,możliwe efekty,efeitos possíveis,ਸੰਭਵ ਪ੍ਰਭਾਵ,efecte posibile,возможные эффекты,posibles efectos,möjliga effekter,ผลที่เป็นไปได้,Olası etkiler,можливі ефекти,có thể ảnh hưởng
max towers,Max Towers,最大塔,Max Towers,Max Towers,Max Towers,enimmäistornit,tours maximales,Max Towers,μέγιστο πύργοι,मैक्स टावर्स,Max Towers,Torri massime,マックスタワー,맥스 타워,Max Towers,Max Towers,Max Towers,ਮੈਕਸ ਟਾਵਰ,Turnuri Max,Макс Тауэрс,torres máximas,max torn,หอคอยสูงสุด,Max Towers,максимальні вежі,Tháp tối đa
elite spawn rate,Елитна честота на хайвера,精英产卵率,Míra elitního fréka,Elite spawn rate,Elite spawn rate,eliitti kutuaste,Taux d'apparition d'élite,Elite -Spawn -Rate,επιτόκιο ωοτοκίας,कुलीन वर्ग दर,elit ívási arány,tasso di spawn d'élite,エリートスポーン率,엘리트 스폰 비율,Elite gytefrekvens,Elitarna wskaźnik odrodzenia,Taxa de desova de elite,ਐਲੀਟ ਸਪੈਨ ਰੇਟ,Rata de naștere de elită,Элитная ставка появления,tasa de desove de élite,elit spawn rate,อัตราการวางไข่ชั้นยอด,Elit yumurtlama oranı,Елітна швидкість нересту,Tỷ lệ sinh sản ưu tú
difficulty level,ниво на трудност,难度级别,stupeň obtížnosti,Sværhedsgrad,moeilijkheidsgraad,vaikeusaste,niveau de difficulté,Schwierigkeitsgrad,επίπεδο δυσκολίας,कठिनाई स्तर,nehézségi szint,Livello di difficoltà,難易度,난이도,Vanskelighetsnivå,poziom trudności,nível de dificuldade,ਮੁਸ਼ਕਲ ਦਾ ਪੱਧਰ,nivel de dificultate,сложный уровень,nivel de dificultad,svårighetsgrad,ระดับความยาก,zorluk seviyesi,Складність рівня,cấp độ khó
enemy amount,Сума на врага,敌人的数量,Nepřátelská částka,fjendebeløb,vijandelijke hoeveelheid,vihollisen määrä,ennemi,Feindmenge,εχθρικό ποσό,दुश्मन की राशि,ellenség összege,importo nemico,敵の量,적 금액,Fiendebeløp,Kwota wroga,quantidade inimiga,ਦੁਸ਼ਮਣ ਦੀ ਰਕਮ,suma inamică,Сумма врага,cantidad enemiga,fiendens belopp,จำนวนของศัตรู,düşman miktarı,сума ворога,Số tiền của kẻ thù
discord,Раздор,不和谐,svár,uenighed,meningsverschil,ristiriitaa,discorde,Zwietracht,διχόνοια,कलह,viszály,discordia,不和,불화,uenighet,niezgoda,discórdia,ਵਿਵਾਦ,discordie,раздор,discordia,disharmoni,ความไม่ลงรอยกัน,anlaşmazlık,розбрат,bất hòa
YOU WIN,ТИ ПЕЧЕЛИШ,你赢了,VYHRÁVÁTE,DU VINDER,JIJ WINT,SINÄ VOITAT,VOUS GAGNEZ,DU GEWINNST,ΚΕΡΔΙΖΕΙΣ,आप जीतते हैं,TE NYERTÉL,HAI VINTO,あなたは勝ちます,네가 이겼다,DU VINNER,WYGRAŁEŚ,VOCÊ GANHA,ਤੁਸੀਂ ਜਿੱਤ ਗਏ,AI CASTIGAT,ТЫ ПОБЕДИЛ,TÚ GANAS,DU VINNER,คุณชนะ,SEN KAZANDIN,ТИ ВИГРАВ,BẠN THẮNG
unlocked difficulty level,отключено ниво на трудност,解锁难度水平,Odemčená úroveň obtížnosti,ulåst vanskelighedsniveau,ontgrendeld moeilijkheidsniveau,lukitsematon vaikeustaso,Niveau de difficulté déverrouillé,Entsperrte Schwierigkeitsgrad,ξεκλειδωμένο επίπεδο δυσκολίας,खुला कठिनाई स्तर,nyitott nehézségi szint,Livello di difficoltà sbloccato,ロック解除された難易度,잠금 해제 난이도 수준,ulåst vanskelighetsnivå,Odblokowany poziom trudności,Nível de dificuldade desbloqueado,ਅਨਲੌਕ ਕੀਤੀ ਮੁਸ਼ਕਲ ਦਾ ਪੱਧਰ,nivel de dificultate deblocat,разблокированный уровень сложности,Nivel de dificultad desbloqueado,olåst svårighetsnivå,ปลดล็อคระดับความยาก,Kilidi açılmış zorluk seviyesi,Розблокований рівень складності,Mức độ khó mở khóa
thanks for playing!,Благодаря. че игра!,感谢参与！,díky za hraní!,Tak for at spille!,bedankt voor het spelen!,Kiitos pelaamisesta!,Merci d'avoir joué!,Danke fürs Spielen!,ευχαριστώ που έπαιξες!,खेलने के लिए धन्यवाद!,Köszönöm a játékot!,grazie per aver giocato!,遊んでくれてありがとう！,연주 해 주셔서 감사합니다!,Takk for at du spiller!,Dzięki za granie!,Obrigado por jogar!,ਖੇਡਣ ਲਈ ਧੰਨਵਾਦ!,multumesc pentru joc!,Спасибо за игру!,¡gracias por jugar!,tack för att du spelade!,ขอบคุณที่เล่น!,oynadığınız için teşekkürler!,Дякую за гру!,cảm ơn vi đa chơi!
GAME OVER,ИГРАТА ПРИКЛЮЧИ,游戏结束,KONEC HRY,Spil over,SPEL IS OVER,PELI OHI,JEU TERMINÉ,SPIEL IST AUS,ΤΕΛΟΣ ΠΑΙΧΝΙΔΙΟΥ,खेल खत्म,JÁTÉK VÉGE,GAME OVER,ゲームオーバー,게임 끝,SPILLET ER OVER,KONIEC GRY,GAME OVER,ਖੇਲ ਖਤਮ,JOC ÎNCHEIAT,ИГРА ЗАКОНЧЕНА,JUEGO TERMINADO,Spela över,จบเกม,OYUN BİTTİ,ГРА ЗАВЕРШЕНА,TRÒ CHƠI KẾT THÚC
view map,Преглед на картата,查看地图,zobrazit mapu,Se kort,Bekijk kaart,katselukartta,voir la carte,Ansichts Karte,Δες τον χάρτη,मानचित्र,térkép megtekintése,guarda la mappa,地図を見ます,지도보기,se på kart,Pokaż mapę,Ver mapa,ਨਕਸ਼ਾ ਵੇਖੋ,Vezi harta,посмотреть карту,ver el mapa,visa karta,ดูแผนที่,haritayı incele,Переглянути карту,xem bản đồ
Here is your money. You get 10 gold each round,Ето вашите пари.Получавате 10 злато всеки кръг,这是你的钱。你每回合获得10金,Tady jsou vaše peníze.V každé kolo dostanete 10 zlata,Her er dine penge.Du får 10 guld hver runde,Hier is uw geld.Je krijgt elke ronde 10 goud,Tässä on rahasi.Saat 10 kultaa jokaisella kierroksella,Voici votre argent.Vous obtenez 10 or chaque tour,Hier ist dein Geld.Sie bekommen 10 Gold pro Runde,Εδώ είναι τα χρήματά σας.Παίρνετε 10 χρυσά σε κάθε γύρο,यहाँ आपका पैसा है।आपको प्रत्येक दौर में 10 सोना मिलता है,Itt van a pénzed.Minden fordulóban 10 aranyat kapsz,Ecco i tuoi soldi.Ottieni 10 oro ogni round,これがあなたのお金です。あなたは各ラウンドで10ゴールドを手に入れます,여기 당신의 돈이 있습니다.당신은 매 라운드마다 10 골드를 얻습니다,Her er pengene dine.Du får 10 gull hver runde,Oto twoje pieniądze.Dostajesz 10 złota w każdej rundzie,Aqui está o seu dinheiro.Você recebe 10 ouro a cada rodada,ਇਹ ਤੁਹਾਡਾ ਪੈਸਾ ਹੈ.ਤੁਹਾਨੂੰ ਹਰ ਗੇੜ 10 ਸੋਨਾ ਮਿਲਦਾ ਹੈ,Iată banii tăi.Primești 10 aur în fiecare rundă,Вот ваши деньги.Вы получаете 10 золота каждый раунд,Aquí está tu dinero.Obtienes 10 oro cada ronda,Här är dina pengar.Du får 10 guld varje omgång,นี่คือเงินของคุณคุณได้รับ 10 ทองในแต่ละรอบ,İşte paran.Her turda 10 altın elde ediyorsun,Ось ваші гроші.Ви отримуєте 10 золота кожен раунд,Đây là tiền của bạn.Bạn nhận được 10 vàng mỗi vòng
Here is your health. It increases over time but if it reaches 0 you lose,Ето вашето здраве.Увеличава се с течение на времето. но ако достигне 0. губите,这是你的健康。随着时间的推移会增加，但如果达到0，您会丢失,Tady je vaše zdraví.V průběhu času se zvyšuje. ale pokud dosáhne 0. ztratíte,Her er dit helbred.Det øges over tid. men hvis det når 0. mister du,Hier is uw gezondheid.Het neemt in de loop van de tijd toe. maar als het 0 bereikt. verliest u,Tässä on terveytesi.Se kasvaa ajan myötä. mutta jos se saavuttaa 0. menetät,Voici votre santé.Il augmente avec le temps mais s'il atteint 0. vous perdez,Hier ist Ihre Gesundheit.Es steigt im Laufe der Zeit. aber wenn es 0 erreicht. verlieren Sie,Εδώ είναι η υγεία σας.Αυξάνεται με την πάροδο του χρόνου. αλλά αν φτάσει στο 0 χάσετε,यहाँ आपका स्वास्थ्य है।यह समय के साथ बढ़ता है लेकिन अगर यह 0 तक पहुंचता है तो आप खो देते हैं,Itt van az egészséged.Az idő múlásával növekszik. de ha eléri a 0 -t. akkor veszít,Ecco la tua salute.Aumenta nel tempo ma se raggiunge 0 perdi,これがあなたの健康です。時間の経過とともに増加しますが、0に達すると失われます,여기 당신의 건강이 있습니다.시간이 지남에 따라 증가하지만 0에 도달하면 잃게됩니다.,Her er helsen din.Det øker over tid. men hvis det når 0 taper du,Oto twoje zdrowie.Z czasem rośnie. ale jeśli osiągnie 0. przegrywasz,Aqui está a sua saúde.Aumenta com o tempo. mas se atingir 0. você perde,ਇਹ ਤੁਹਾਡੀ ਸਿਹਤ ਹੈ.ਇਹ ਸਮੇਂ ਦੇ ਨਾਲ ਵੱਧਦਾ ਜਾਂਦਾ ਹੈ ਪਰ ਜੇ ਇਹ 0 ਤੱਕ ਪਹੁੰਚਦਾ ਹੈ ਤਾਂ ਤੁਸੀਂ ਹਾਰ ਜਾਂਦੇ ਹੋ,Iată sănătatea ta.Crește în timp. dar dacă ajunge la 0 pierdeți,Вот ваше здоровье.Он увеличивается со временем. но если он достигнет 0. вы проиграете,Aquí está tu salud.Aumenta con el tiempo. pero si llega a 0 pierdes,Här är din hälsa.Det ökar med tiden men om det når 0 förlorar du,นี่คือสุขภาพของคุณมันเพิ่มขึ้นเมื่อเวลาผ่านไป แต่ถ้าถึง 0 คุณจะสูญเสีย,İşte sağlığınız.Zamanla artar. ancak 0'a ulaşırsa kaybedersiniz,Ось ваше здоров'я.Це збільшується з часом. але якщо він досягне 0. ви втрачаєте,Đây là sức khỏe của bạn.Nó tăng theo thời gian nhưng nếu nó đạt đến 0 bạn thua
